player_id,player_display_name,position,season,recent_team,games,racr,target_share,air_yards_share,wopr,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,receiving_fumbles_per_game,receiving_air_yards_per_game,receiving_yards_after_catch_per_game,receiving_first_downs_per_game,receiving_epa_per_game,fantasy_points_ppr_per_game,fantasy_points_ppr_per_game_next_year
00-0021547,Antonio Gates,TE,2015,LAC,11,0.91,0.13,0.14,0.29,5.09,7.73,57.27,0.45,0.0,63.27,21.73,3.0,2.03,13.55,11.37
00-0021547,Antonio Gates,TE,2016,LAC,13,0.71,0.16,0.16,0.36,4.08,7.15,42.15,0.54,0.08,59.15,14.46,2.62,0.91,11.37,4.97
00-0021547,Antonio Gates,TE,2017,LAC,16,0.73,0.09,0.09,0.2,1.88,3.25,19.75,0.19,0.0,27.0,4.12,1.0,0.19,4.97,4.71
00-0021547,Antonio Gates,TE,2018,LAC,16,0.94,0.09,0.09,0.2,1.75,2.81,20.81,0.12,0.06,22.25,7.88,1.19,0.36,4.71,
00-0022127,Jason Witten,TE,2015,DAL,16,0.98,0.2,0.18,0.43,4.81,6.5,44.56,0.19,0.06,45.44,14.38,2.25,-0.16,10.27,10.15
00-0022127,Jason Witten,TE,2016,DAL,15,1.13,0.2,0.15,0.41,4.6,6.33,44.87,0.2,0.07,39.73,18.2,2.2,1.5,10.15,9.31
00-0022127,Jason Witten,TE,2017,DAL,16,0.93,0.18,0.15,0.38,3.94,5.44,35.0,0.31,0.0,37.62,6.56,1.62,1.08,9.31,8.74
00-0022127,Jason Witten,TE,2019,DAL,16,0.97,0.14,0.1,0.28,3.94,5.19,33.06,0.25,0.06,34.12,10.12,1.69,1.21,8.74,3.19
00-0022127,Jason Witten,TE,2020,LV,10,0.76,0.03,0.02,0.06,1.3,1.7,6.9,0.2,0.0,9.1,2.0,0.8,0.24,3.19,
00-0022943,Benjamin Watson,TE,2015,NO,16,0.84,0.17,0.19,0.38,4.62,6.88,51.56,0.38,0.06,61.56,15.06,2.62,2.7,11.91,8.57
00-0022943,Benjamin Watson,TE,2017,BAL,16,1.25,0.14,0.11,0.29,3.81,4.94,32.62,0.25,0.06,26.0,16.44,1.94,0.7,8.57,6.69
00-0022943,Benjamin Watson,TE,2018,NO,13,0.85,0.09,0.12,0.22,2.69,3.54,30.77,0.15,0.0,36.15,6.69,1.62,1.59,6.69,3.81
00-0022943,Benjamin Watson,TE,2019,NE,9,0.81,0.04,0.05,0.09,1.89,2.67,19.22,0.0,0.0,23.78,9.22,1.0,1.13,3.81,
00-0023465,Heath Miller,TE,2015,PIT,15,1.15,0.14,0.08,0.26,4.0,5.4,35.67,0.13,0.0,31.0,14.13,1.93,1.33,8.51,
00-0024221,Vernon Davis,TE,2015,DEN,13,0.71,0.11,0.14,0.27,2.92,4.46,30.38,0.0,0.0,43.0,11.0,1.62,0.02,5.96,7.62
00-0024221,Vernon Davis,TE,2016,WAS,15,1.11,0.1,0.1,0.22,2.93,3.93,38.87,0.13,0.0,35.0,15.87,1.47,0.76,7.62,7.61
