player_id,player_display_name,position,years_of_experience,season,recent_team,new_team_next_year,games,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,receiving_fumbles_per_game,receiving_air_yards_per_game,receiving_yards_after_catch_per_game,receiving_first_downs_per_game,receiving_epa_per_game,racr,target_share,air_yards_share,wopr,carries_per_game,rushing_yards_per_game,rushing_tds_per_game,rushing_fumbles_per_game,rushing_first_downs_per_game,fantasy_points_ppr_per_game,fantasy_points_ppr_per_game_next_year
00-0022084,Anquan Boldin,WR,12,2015,SF,1,14,4.93,7.93,56.36,0.29,0.07,63.86,20.14,2.5,0.02,0.88,0.21,0.23,0.48,0.0,0.0,0.0,0.0,0.0,12.14,10.84
00-0022921,Larry Fitzgerald,WR,11,2015,ARI,0,16,6.81,9.06,75.94,0.56,0.12,77.38,28.88,4.06,3.4,0.98,0.26,0.2,0.54,0.0,0.0,0.0,0.0,0.0,17.53,15.24
00-0022921,Larry Fitzgerald,WR,12,2016,ARI,0,16,6.69,9.38,63.94,0.38,0.12,71.88,22.38,3.75,1.91,0.89,0.24,0.19,0.48,0.12,0.31,0.0,0.0,0.0,15.24,16.34
00-0022921,Larry Fitzgerald,WR,13,2017,ARI,0,16,6.81,10.06,72.25,0.38,0.06,83.5,25.5,4.12,1.8,0.87,0.27,0.23,0.57,0.0,0.0,0.0,0.0,0.0,16.34,11.6
00-0022921,Larry Fitzgerald,WR,14,2018,ARI,0,16,4.31,7.0,45.88,0.38,0.0,64.56,12.81,2.44,0.1,0.71,0.24,0.26,0.54,0.0,0.0,0.0,0.0,0.0,11.6,11.09
00-0022921,Larry Fitzgerald,WR,15,2019,ARI,0,16,4.69,6.81,50.25,0.25,0.06,53.25,21.44,2.5,0.29,0.94,0.21,0.2,0.45,0.0,0.0,0.0,0.0,0.0,11.09,7.76
00-0024334,Brandon Marshall,WR,9,2015,NYJ,0,16,6.81,10.81,93.88,0.88,0.19,131.38,27.38,4.81,3.56,0.71,0.29,0.38,0.7,0.0,0.0,0.0,0.0,0.0,21.2,10.39
00-0024535,Eric Weems,WR,8,2015,ATL,0,12,0.08,0.08,0.92,0.0,0.0,0.5,0.42,0.08,0.09,1.83,0.0,0.0,0.0,0.08,0.33,0.0,0.0,0.08,0.21,0.0
00-0025396,Ted Ginn,WR,8,2015,CAR,0,15,2.93,6.4,49.27,0.67,0.0,102.6,16.07,2.4,1.13,0.48,0.19,0.3,0.5,0.27,4.0,0.0,0.0,0.13,12.26,10.19
00-0025396,Ted Ginn,WR,9,2016,CAR,1,16,3.38,5.94,47.0,0.25,0.0,73.06,11.38,1.69,1.02,0.64,0.17,0.2,0.4,0.88,6.12,0.0,0.0,0.38,10.19,10.64
00-0025396,Ted Ginn,WR,10,2017,NO,0,15,3.53,4.67,52.47,0.27,0.0,56.13,20.13,2.13,1.87,0.93,0.13,0.25,0.37,0.67,2.6,0.0,0.0,0.13,10.64,5.73
00-0026035,Danny Amendola,WR,7,2015,NE,0,14,4.64,6.21,46.29,0.21,0.0,42.36,18.86,2.29,1.25,1.09,0.14,0.12,0.29,0.14,0.79,0.0,0.0,0.0,10.74,5.78
00-0026035,Danny Amendola,WR,8,2016,NE,0,12,1.92,2.42,20.25,0.33,0.08,21.25,6.08,1.17,1.49,0.95,0.05,0.06,0.12,0.0,0.0,0.0,0.0,0.0,5.78,9.26
