player_id,player_name,player_display_name,position,position_group,headshot_url,season,season_type,recent_team,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,fantasy_points,fantasy_points_ppr
00-0004091,P.Dawson,Phil Dawson,K,SPEC,https://static.www.nfl.com/image/private/{formatInstructions}/league/dypn7kf7fsaz30ey0ayc,2015,REG,SF,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,1,2,54,0.888888888888889,0,9,6,6,3,0,0,0,0,1,0,0,30;25;47;33;43;22;53;31;26;42;35;54;26;44;27;25;53;33;44;40;26;28;38;23,45,28;41,848,45,69,20,21,0,1,0.952380952380952,1,1,0,0,23,0,0
00-0007091,M.Hasselbeck,Matt Hasselbeck,QB,QB,https://static.www.nfl.com/image/private/{formatInstructions}/league/t1nf9avoy2kauqwrvzza,2015,REG,IND,8,156,256,1690,9,5,16,-101,3,2,1900,779,85,-0.113061250119463,-2.26301649212837,0,0.889473684210526,16,15,0,0,0,2,-5.87065162456101,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,91.1,91.1
00-0010346,P.Manning,Peyton Manning,QB,QB,https://static.www.nfl.com/image/private/{formatInstructions}/league/xpcd6auodk3w0vda6jal,2015,REG,DEN,10,198,331,2249,9,17,16,-95,1,0,3112,967,110,-31.9566445348305,-2.38876686541867,0,0.722686375321337,6,-6,0,0,0,0,-3.61659660475561,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,91.36,91.36
00-0016919,A.Vinatieri,Adam Vinatieri,K,SPEC,https://static.www.nfl.com/image/private/{formatInstructions}/league/imfj1hl4kob4jof8hcwa,2015,REG,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,2,0,55,0.925925925925926,0,7,6,8,4,0,0,1,0,0,1,0,54;32;27;48;42;47;34;24;50;43;55;43;49;27;26;44;35;25;21;32;29;38;49;52;35,52;29,,961,81,0,32,35,2,1,0.914285714285714,2,2,0,0,27;43,0,0
00-0018227,C.Woodson,Charles Woodson,FS,DB,https://static.www.nfl.com/image/private/{formatInstructions}/league/gohbupnj3mhletq96zzu,2015,REG,LV,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,-3,0,0,0,0,-0.917857711145189,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,57,2,15,1,3,1,0,0,0,5,22,9,0,1,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,-0.3,-0.3
00-0019435,M.Leach,Mike Leach,LS,SPEC,https://static.www.nfl.com/image/private/{formatInstructions}/league/ilrirkvxmxbeedplpjhm,2015,REG,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0019536,S.Graham,Shayne Graham,K,SPEC,https://static.www.nfl.com/image/private/{formatInstructions}/league/nntaad0gtphxh3qe4l4o,2015,REG,ATL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1,1,54,0.846153846153846,0,2,4,2,3,0,0,0,0,1,0,0,31;28;47;52;29;34;33;46;37;54;51,43,45,442,43,45,8,8,0,0,1,0,0,0,0,,0,0
00-0019596,T.Brady,Tom Brady,QB,QB,https://static.www.nfl.com/image/private/{formatInstructions}/league/q7dpdlxyu5rs05rgh1le,2015,REG,NE,16,402,624,4770,36,7,38,-225,5,2,4915,2414,228,127.536179393097,-0.0932879300610681,0,0.970498474059003,34,53,3,1,0,14,6.76819016496302,0,1,1,36,0,0,0,7,29,1,3.12903063558042,0,5.14285714285714,0.0016025641025641,0.00141843971631206,0.00339675395526459,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,343.7,344.7
00-0019646,S.Janikowski,Sebastian Janikowski,K,SPEC,https://static.www.nfl.com/image/private/{formatInstructions}/league/c5zvm3ux5uvwxdfqwd0w,2015,REG,LV,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,4,1,56,0.807692307692308,0,7,5,5,4,0,0,0,0,3,1,0,23;46;48;23;35;29;41;50;29;32;31;52;47;48;56;24;23;30;50;31;29,40;52;49;43,38,777,184,38,38,39,1,0,0.974358974358974,0,0,0,0,,0,0
00-0019714,S.Lechler,Shane Lechler,P,SPEC,https://static.www.nfl.com/image/private/{formatInstructions}/league/we3oe5jqnrb4ag3d4pqu,2015,REG,HOU,16,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
00-0020245,M.Vick,Mike Vick,QB,QB,https://static.www.nfl.com/image/private/{formatInstructions}/league/hrg4riwhpjbijfovsjrk,2015,REG,PIT,5,40,66,371,2,1,10,-53,1,0,631,193,14,-30.6447069808103,-0.0580714317038655,0,0.587955625990491,20,99,0,1,0,5,-0.00418937325198954,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,30.74,30.74
